p1(s);p2(s);pdot1(s/s);pdot2(s/s);l1(mJy kpc²);l2(mJy kpc²);x(kpc);y(kpc);z(kpc);vx(km/s);vy(km/s);vz(km/s);seed;S1*A;S2*A;A;porb(days);b1(T);b2(T);m1(Msun);m2(Msun);porb_i;e_form;e;a(AU);ce;type1;type2;ID
0.548907;5.95039;2.87445e-16;3.3678e-15;0.131327;4.91027;2.77384;1.82986;-0.0273158;108.662;-194.468;3.05068;221797290;3.68948;3.48024;30.6618;0.203865;36060100.0;409504000.0;1.3023;1.27758;1.12245;0.132318;0.129553;0.00929753;1;13;13;1706
0.043377;5.68541;1.78476e-19;2.2821e-17;2.83694;7.00261;1.25604;-1.51407;0.106239;-46.9759;-60.5732;-254.847;221799906;39.0936;5.40615;47.7848;21.543;327328.0;40093100.0;2.01579;1.78388;91.2561;0.862311;0.862103;0.236442;1;13;13;1707
0.467396;16.8502;5.02169e-17;1.83892e-15;0.925714;0.599286;-1.37834;0.819785;0.252497;108.62;179.681;38.2993;221890547;11.5362;10.311;88.6891;0.794382;13441500.0;492460000.0;1.31924;1.27758;4.26636;0.363124;0.361614;0.0230731;0;13;13;1708
0.196468;43.5949;3.64818e-19;7.99109e-17;0.262109;1.50117;4.10407;-3.59114;-0.383435;-263.752;-163.272;31.0963;2418128901;2.57885;2.55876;28.2216;1.33921;757663.0;184651000.0;1.34287;1.46163;7.60269;0.52621;0.516437;0.0335318;0;13;13;1709
0.00925943;5.25517;6.79239e-19;3.9372e-16;878.581;14.9063;-0.694128;-1.84136;-0.0720948;-247.482;105.661;-7.93477;1777822884;789047000000.0;10.1258;78.9837;0.0554968;224331.0;144418000.0;1.36003;1.49732;1.14427;0.479438;0.176456;0.00404054;0;13;13;1710
0.0755318;20.3414;1.03222e-17;2.81713e-15;0.0172263;39.0444;-10.5156;2.23772;-0.0694216;39.1367;224.3;-4.97116;1928867541;3474920000000.0;87.3676;347.84;0.291129;4087730.0;723872000.0;2.42932;1.33201;1.08975;0.290136;0.27415;0.0133694;0;13;13;1711
0.00646382;11.631;2.9932699999999994e-20;2.77126e-16;3.92071;0.905355;-1.47528;-0.093791;-0.00714288;-3.67391;210.689;-30.1564;1928957313;897000000000.0;14.0297;89.7898;0.166006;40434.1;164614000.0;1.3212;1.27758;1.31339;0.247218;0.172928;0.0081273;0;13;13;1712
0.00474335;8.62153;2.8466499999999998e-21;8.42945e-20;16.4065;3.36483;-1.8573;0.0176944;0.00718556;11.3908;274.903;-13.9969;1929012584;970695000000.0;15.5569;97.1667;1.55753;10827.8;3543090.0;1.37758;2.13977;9.51774;0.235806;0.230358;0.0399917;1;13;13;1713
0.224629;14.1664;5.0369600000000005e-18;3.1892e-16;0.390494;0.887746;2.12341;2.03572;-0.171801;239.887;-236.869;-9.14887;3348688762;4.57146;4.23567;38.7081;0.401362;3032510.0;191594000.0;1.34279;1.27758;2.41688;0.431312;0.397593;0.0146809;0;13;13;1714
0.0413051;24.621;2.3962199999999998e-20;1.22935e-17;9.71797;2.78418;-0.893169;3.81764;0.0233227;339.491;134.916;25.9445;2814896358;935697000000.0;13.0993;93.6633;1.74412;99601.2;67715800.0;1.57859;1.97705;9.18671;0.155006;0.153662;0.043281;1;13;13;1715
